address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
527 W 27th St # 3A,New York,NY,10001,5250000,2218.0,3.0,4.0,105,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/527-W-27th-St-3A-New-York-NY-10001/2098168070_zpid/
522 W 29th St FL 2B,New York,NY,10001,5750000,2146.0,3.0,4.0,65,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/522-W-29th-St-FL-2B-New-York-NY-10001/2090752578_zpid/
15 Hudson Yards # PH86C,New York,NY,10001,9255000,2566.0,3.0,4.0,113,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-PH86C-New-York-NY-10001/2091456056_zpid/
15 Hudson Yards # PH83B,New York,NY,10001,12810000,3203.0,4.0,5.0,156,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-PH83B-New-York-NY-10001/2091856305_zpid/
15 Hudson Yards # 72A,New York,NY,10001,9515000,2400.0,3.0,4.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-72A-New-York-NY-10001/2095353194_zpid/
520 W 28th St # 5,New York,NY,10001,6450000,2065.0,3.0,4.0,52,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/520-W-28th-St-5-New-York-NY-10001/2092265200_zpid/
515 W 29th St APT 3S,New York,NY,10001,5450000,2140.0,2.0,3.0,49,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/515-W-29th-St-APT-3S-New-York-NY-10001/2090490385_zpid/
515 W 29th St APT 3N,New York,NY,10001,5250000,2133.0,2.0,3.0,49,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/515-W-29th-St-APT-3N-New-York-NY-10001/2090490384_zpid/
231 W 26th St # 5THFL,New York,NY,10001,2675000,1403.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/231-W-26th-St-5THFL-New-York-NY-10001/2091296480_zpid/
550 W 29th St # 2B,New York,NY,10001,5900000,2269.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/550-W-29th-St-2B-New-York-NY-10001/2092077923_zpid/
527 W 27th St # 4D,New York,NY,10001,4725000,1942.0,3.0,4.0,105,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/527-W-27th-St-4D-New-York-NY-10001/2098168074_zpid/
245 7th Ave # PHBC,New York,NY,10001,7895000,3900.0,3.0,3.0,694,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/245-7th-Ave-PHBC-New-York-NY-10001/2098208345_zpid/
261 W 25th St # 4B,New York,NY,10001,2795000,1459.0,2.0,3.0,32,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-4B-New-York-NY-10001/219650830_zpid/
50 W 30th St # 21A,New York,NY,10001,3145000,1330.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-W-30th-St-21A-New-York-NY-10001/2091088964_zpid/
1182 Broadway APT 8A,New York,NY,10001,1950000,1015.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-8A-New-York-NY-10001/2097793918_zpid/
527 W 27th St # 6B,New York,NY,10001,3695000,1539.0,2.0,3.0,105,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/527-W-27th-St-6B-New-York-NY-10001/2098168073_zpid/
1182 Broadway APT 12B,New York,NY,10001,1825000,1009.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-12B-New-York-NY-10001/2101440207_zpid/
357 W 30th St APT 2,NEW YORK,NY,10001,625000,453.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/357-W-30th-St-APT-2-New-York-NY-10001/31502687_zpid/
520 W 28th St # 11,New York,NY,10001,8795000,2924.0,3.0,4.0,310,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/520-W-28th-St-11-New-York-NY-10001/2096099665_zpid/
540 W 28th St APT 3B,NEW YORK,NY,10001,1800000,1181.0,2.0,2.0,86,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/540-W-28th-St-APT-3B-New-York-NY-10001/112088990_zpid/
261 W 25th St # 3C,New York,NY,10001,2235000,1122.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-3C-New-York-NY-10001/219650827_zpid/
144 W 27th St RM 8R,New York,NY,10001,3350000,3050.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/144-W-27th-St-RM-8R-New-York-NY-10001/2091072897_zpid/
245 10th Ave APT 6E,New York,NY,10001,2795000,1501.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/245-10th-Ave-APT-6E-New-York-NY-10001/2090170873_zpid/
50 W 30th St # 3E,New York,NY,10001,2800000,1325.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-W-30th-St-3E-New-York-NY-10001/2098676782_zpid/
252 7th Ave APT 17F,NEW YORK,NY,10001,2795000,1257.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-17F-New-York-NY-10001/54048942_zpid/
252 7th Ave APT 10V,NEW YORK,NY,10001,2875000,1478.0,2.0,2.0,53,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-10V-New-York-NY-10001/55501547_zpid/
231 W 26th St APT 5,NEW YORK,NY,10001,2675000,1403.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/231-W-26th-St-APT-5-New-York-NY-10001/63865755_zpid/
540 W 28th St APT 10A,NEW YORK,NY,10001,2495000,1245.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/540-W-28th-St-APT-10A-New-York-NY-10001/112089042_zpid/
1200 Broadway APT 5F,New York,NY,10001,2345000,NA,2.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/1200-Broadway-APT-5F-New-York-NY-10001/2090242924_zpid/
