,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
307,80 E 10th St # 8,New York,NY,10003,8250000.0,2662.0,3.0,3.0,115.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/80-E-10th-St-8-New-York-NY-10003/2091494181_zpid/
308,61 Irving Pl APT 3A,New York,NY,10003,4250000.0,,3.0,3.0,219.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/61-Irving-Pl-APT-3A-New-York-NY-10003/72516907_zpid/
309,224 E 14th St APT 1,NEW YORK,NY,10003,4200000.0,1971.0,2.0,3.0,191.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/224-E-14th-St-APT-1-New-York-NY-10003/89329362_zpid/
310,347 Bowery # 9/10,New York,NY,10003,7950000.0,2891.0,3.0,4.0,69.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/347-Bowery-9-10-New-York-NY-10003/2090804570_zpid/
311,205 E 16th St APT 1E,New York,NY,10003,2395000.0,1708.0,3.0,4.0,72.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/205-E-16th-St-APT-1E-New-York-NY-10003/143106484_zpid/
312,15 Union Sq W APT 4C,New York,NY,10003,2895000.0,1560.0,1.0,2.0,74.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Union-Sq-W-APT-4C-New-York-NY-10003/2129050773_zpid/
313,22 E 15th St # 5,New York,NY,10003,2950000.0,1560.0,1.0,2.0,151.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-E-15th-St-5-New-York-NY-10003/2091815309_zpid/
314,1 5th Ave # 1617H,New York,NY,10003,4950000.0,,2.0,3.0,37.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-5th-Ave-1617H-New-York-NY-10003/244748118_zpid/
315,215 E 19th St # 6C,New York,NY,10003,4580000.0,2109.0,3.0,4.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-6C-New-York-NY-10003/2090262179_zpid/
316,215 E 19th St # 9G,New York,NY,10003,4695000.0,2054.0,3.0,4.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-9G-New-York-NY-10003/2090262178_zpid/
317,21 E 12th St # 7A,New York,NY,10003,4175000.0,1478.0,2.0,3.0,112.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-E-12th-St-7A-New-York-NY-10003/2097564327_zpid/
318,21 E 12th St # 9C,New York,NY,10003,5250000.0,2028.0,2.0,3.0,100.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-E-12th-St-9C-New-York-NY-10003/2094140901_zpid/
319,80 E 10th St # 6,New York,NY,10003,7850000.0,3304.0,4.0,4.0,239.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/80-E-10th-St-6-New-York-NY-10003/2092746971_zpid/
320,44 E 12th St # 2BC,New York,NY,10003,2545000.0,1300.0,3.0,2.0,79.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/44-E-12th-St-2BC-New-York-NY-10003/2090952509_zpid/
321,1 Irving Pl APT U8A,NEW YORK,NY,10003,2500000.0,1350.0,2.0,2.0,79.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-Irving-Pl-APT-U8A-New-York-NY-10003/31506065_zpid/
322,39 5th Ave # 11A,New York,NY,10003,1795000.0,,1.0,1.0,185.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/39-5th-Ave-11A-New-York-NY-10003/2092134819_zpid/
323,32 E 1st St # 5C,New York,NY,10003,3885000.0,1511.0,3.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/32-E-1st-St-5C-New-York-NY-10003/2090836010_zpid/
